x,y,Normal cyan (dB),LL Norm cyan (dB),Diseased Rod,Suspect,Absolute Scatoma,,ID NUM,ID ORDER,upper,llnorm,diseased,suspect
-24,0,59.3,55.6,21.4,,0,,1,10,58.2,52.3,21.7,
-12,0,58.8,53.6,19.3,,0,,3,8,49.6,37.6,23.6,
12,0,49.6,37.6,23.6,,0,,8,3,58.8,53.6,19.3,
24,0,58.2,52.3,21.7,,0,,10,1,59.3,55.6,21.4,
0,-24,58.8,54.2,19.2,,0,,11,11,58.8,54.2,19.2,
0,-12,59.5,54.4,21.7,,0,,13,13,59.5,54.4,21.7,
0,12,58.4,53.1,18.8,,0,,18,18,58.4,53.1,18.8,
0,24,57.5,49.7,17.1,,0,,20,20,57.5,49.7,17.1,
48,12,57.1,45.8,12.6,,0,,21,28,54.6,48.1,13.3,
36,12,57.6,47.6,17.7,,0,,22,27,56,49.9,13.4,
24,12,57.1,51.4,17.3,,0,,23,26,57.7,54.0,15.4,
12,12,58.3,52.5,16.6,,0,,24,25,58.7,54.6,22.2,
-12,12,58.7,54.6,22.2,,0,,25,24,58.3,52.5,16.6,
-24,12,57.7,54.0,15.4,,0,,26,23,57.1,51.4,17.3,
-36,12,56,49.9,13.4,,0,,27,22,57.6,47.6,17.7,
-48,12,54.6,48.1,13.3,,0,,28,21,57.1,45.8,12.6,
48,0,57.2,51.1,18.4,,0,,29,32,55.5,49.4,14.5,
36,0,58.6,53.3,18.3,,0,,30,31,57.7,52.4,12.9,
-36,0,57.7,52.4,12.9,,0,,31,30,58.6,53.3,18.3,
-48,0,55.5,49.4,14.5,,0,,32,29,57.2,51.1,18.4,
48,-12,57.1,52.4,18.9,,0,,33,40,53.8,44.9,5.7,
36,-12,58.1,51.9,17.2,,0,,34,39,57.1,50.7,9.6,
24,-12,58.1,53.4,19.3,,0,,35,38,57.8,50.7,12.8,
12,-12,59.9,54.5,16.1,,0,,36,37,58.6,53.2,13.2,
-12,-12,58.6,53.2,13.2,,0,,37,36,59.9,54.5,16.1,
-24,-12,57.8,50.7,12.8,,0,,38,35,58.1,53.4,19.3,
-36,-12,57.1,50.7,9.6,,0,,39,34,58.1,51.9,17.2,
-48,-12,53.8,44.9,5.7,,0,,40,33,57.1,52.4,18.9,
36,24,54.9,42.9,13.2,,0,,41,46,53.5,38.3,8.6,
24,24,56.7,49.9,13.8,,0,,42,45,55.6,43.1,13.8,
12,24,57.9,49.5,19.8,,0,,43,44,57.9,50.2,17.8,
-12,24,57.9,50.2,17.8,,0,,44,43,57.9,49.5,19.8,
-24,24,55.6,43.1,13.8,,0,,45,42,56.7,49.9,13.8,
-36,24,53.5,38.3,8.6,,0,,46,41,54.9,42.9,13.2,
36,-24,57.1,51.2,8.5,,0,,47,52,56.3,48.6,2.6,
24,-24,58,54.3,10.2,,0,,48,51,56.8,52.9,3.2,
12,-24,58.9,52.9,13.5,,0,,49,50,58.6,53.1,3.2,
-12,-24,58.6,53.1,3.2,,0,,50,49,58.9,52.9,13.5,
-24,-24,56.8,52.9,3.2,,0,,51,48,58,54.3,10.2,
-36,-24,56.3,48.6,2.6,,0,,52,47,57.1,51.2,8.5,
36,36,52.4,37.2,14.1,,0,,53,58,47.4,25.6,14.5,
24,36,53.7,42.2,14,,0,,54,57,50.8,30.8,16.8,
12,36,54.4,43.4,12.6,,0,,55,56,54.5,42.2,14.4,
-12,36,54.5,42.2,14.4,,0,,56,55,54.4,43.4,12.6,
-24,36,50.8,30.8,16.8,,0,,57,54,53.7,42.2,14,
-36,36,47.4,25.6,14.5,,0,,58,53,52.4,37.2,14.1,
36,-36,56.3,51.2,14.9,,0,,59,64,42.2,15.1,4.2,
24,-36,56.3,52.4,7,,0,,60,63,55.1,49.0,3.7,
12,-36,57.8,52.5,10.2,,0,,61,62,56.5,52.5,4,
-12,-36,56.5,52.5,4,,0,,62,61,57.8,52.5,10.2,
